transaction_id,user_id,amount,transaction_date,status,plan,country
T0000001,U00002,28.73,2023-10-13,completed,Basic,Brazil
T0000002,U00002,28.38,2023-11-12,completed,Basic,Brazil
T0000003,U00002,28.79,2023-12-12,completed,Basic,Brazil
T0000004,U00002,27.82,2024-01-11,completed,Basic,Brazil
T0000005,U00002,28.26,2024-02-10,completed,Basic,Brazil
T0000006,U00002,28.04,2024-03-11,completed,Basic,Brazil
T0000007,U00002,29.31,2024-04-10,completed,Basic,Brazil
T0000008,U00002,27.83,2024-05-10,completed,Basic,Brazil
T0000009,U00002,30.19,2024-06-09,completed,Basic,Brazil
T0000010,U00002,30.09,2024-07-09,completed,Basic,Brazil
T0000011,U00002,28.38,2024-08-08,completed,Basic,Brazil
T0000012,U00002,29.46,2024-09-07,completed,Basic,Brazil
T0000013,U00002,28.09,2024-10-07,completed,Basic,Brazil
T0000014,U00002,0.0,2024-11-06,failed,Basic,Brazil
T0000015,U00004,27.93,2023-07-28,completed,Basic,Argentina
T0000016,U00004,30.19,2023-08-27,completed,Basic,Argentina
T0000017,U00004,29.25,2023-09-26,completed,Basic,Argentina
T0000018,U00004,27.84,2023-10-26,completed,Basic,Argentina
T0000019,U00004,29.44,2023-11-25,completed,Basic,Argentina
T0000020,U00004,28.34,2023-12-25,completed,Basic,Argentina
T0000021,U00004,29.08,2024-01-24,completed,Basic,Argentina
T0000022,U00004,29.79,2024-02-23,completed,Basic,Argentina
T0000023,U00004,28.97,2024-03-24,completed,Basic,Argentina
T0000024,U00004,30.34,2024-04-23,completed,Basic,Argentina
T0000025,U00004,29.25,2024-05-23,completed,Basic,Argentina
T0000026,U00004,27.95,2024-06-22,completed,Basic,Argentina
T0000027,U00004,28.79,2024-07-22,completed,Basic,Argentina
T0000028,U00004,30.32,2024-08-21,completed,Basic,Argentina
T0000029,U00004,29.98,2024-09-20,completed,Basic,Argentina
T0000030,U00004,28.28,2024-10-20,completed,Basic,Argentina
T0000031,U00004,27.96,2024-11-19,completed,Basic,Argentina
T0000032,U00006,27.65,2023-07-07,completed,Basic,Chile
T0000033,U00006,28.45,2023-08-06,completed,Basic,Chile
T0000034,U00006,27.82,2023-09-05,completed,Basic,Chile
T0000035,U00006,28.17,2023-10-05,completed,Basic,Chile
T0000036,U00006,28.34,2023-11-04,completed,Basic,Chile
T0000037,U00006,27.96,2023-12-04,completed,Basic,Chile
T0000038,U00006,27.69,2024-01-03,completed,Basic,Chile
T0000039,U00006,28.41,2024-02-02,completed,Basic,Chile
T0000040,U00006,28.95,2024-03-03,completed,Basic,Chile
T0000041,U00006,28.68,2024-04-02,completed,Basic,Chile
T0000042,U00006,29.6,2024-05-02,completed,Basic,Chile
T0000043,U00006,30.42,2024-06-01,completed,Basic,Chile
T0000044,U00006,27.6,2024-07-01,completed,Basic,Chile
T0000045,U00006,28.03,2024-07-31,completed,Basic,Chile
T0000046,U00006,30.17,2024-08-30,completed,Basic,Chile
