user_id,signup_date,country,plan,is_active,signup_month,sessions
U00001,2023-10-23,Chile,Free,True,2023-10,22.0
U00002,2023-10-13,Brazil,Basic,True,2023-10,48.0
U00003,2024-09-05,Chile,Free,True,2024-09,4.0
U00004,2023-07-28,Argentina,Basic,True,2023-07,59.0
U00005,2024-09-02,Colombia,Free,False,2024-09,0.0
U00006,2023-07-07,Chile,Basic,True,2023-07,65.0
U00007,2024-04-10,Spain,Free,True,2024-04,11.0
U00008,2023-10-03,Mexico,Free,True,2023-10,21.0
U00009,2024-03-27,Argentina,Basic,True,2024-03,32.0
U00010,2024-07-22,Chile,Free,False,2024-07,2.0
U00011,2024-07-05,Argentina,Basic,True,2024-07,23.0
U00012,2024-02-19,USA,Basic,False,2024-02,7.0
U00013,2023-10-12,Mexico,Free,False,2023-10,7.0
U00014,2023-12-14,Chile,Free,True,2023-12,17.0
U00015,2023-09-12,Chile,Basic,False,2023-09,23.0
U00016,2023-12-15,Chile,Free,False,2023-12,6.0
U00017,2024-02-10,Peru,Basic,False,2024-02,6.0
U00018,2024-02-20,Peru,Basic,True,2024-02,25.0
U00019,2023-09-06,Spain,Free,False,2023-09,6.0
U00020,2024-05-18,Mexico,Free,False,2024-05,1.0
U00021,2024-10-12,Chile,Free,False,2024-10,2.0
U00022,2024-03-26,Mexico,Basic,True,2024-03,40.0
U00023,2024-07-05,USA,Free,True,2024-07,7.0
U00024,2023-10-02,Brazil,Basic,True,2023-10,54.0
U00025,2023-12-11,Mexico,Basic,True,2023-12,54.0
U00026,2024-07-25,Mexico,Basic,True,2024-07,27.0
U00027,2023-07-12,Chile,Basic,False,2023-07,13.0
U00028,2024-03-30,Mexico,Basic,True,2024-03,40.0
U00029,2023-12-09,Spain,Free,False,2023-12,4.0
U00030,2024-03-26,Argentina,Pro,True,2024-03,59.0
U00031,2023-10-17,Chile,Pro,True,2023-10,117.0
U00032,2024-01-20,Argentina,Free,False,2024-01,5.0
U00033,2023-07-01,Mexico,Basic,True,2023-07,56.0
U00034,2024-07-06,Peru,Pro,True,2024-07,52.0
U00035,2023-08-29,Colombia,Free,True,2023-08,17.0
U00036,2024-11-09,USA,Basic,True,2024-11,7.0
U00037,2023-11-06,Mexico,Free,False,2023-11,1.0
U00038,2024-03-28,Colombia,Free,False,2024-03,3.0
U00039,2024-01-22,Mexico,Basic,True,2024-01,41.0
U00040,2024-07-17,Colombia,Free,True,2024-07,9.0
U00041,2024-02-16,Chile,Free,False,2024-02,2.0
U00042,2024-02-11,Argentina,Free,True,2024-02,6.0
